report_country,state,population,source,year
Nepal,Province 1,4833862,UNFPA,2019
Nepal,Province 2,6017677,UNFPA,2019
Nepal,Bagmati Pradesh,6182081,UNFPA,2019
Nepal,Gandaki Pradesh,2487314,UNFPA,2019
Nepal,Lumbini,4933158,UNFPA,2019
Nepal,Karnali Pradesh,1743006,UNFPA,2019
Nepal,Sudurpashim Pradesh,2825676,UNFPA,2019
Bangladesh,Barisal,8325666,UNFPA,2019
Bangladesh,Chittagong,28423019,UNFPA,2019
Bangladesh,Dhaka,36433505,UNFPA,2019
Bangladesh,Khulna,15687759,UNFPA,2019
Bangladesh,Mymensingh,10990913,UNFPA,2019
Bangladesh,Rajshahi,18484858,UNFPA,2019
Bangladesh,Rangpur,15787758,UNFPA,2019
Bangladesh,Sylhet,9910219,UNFPA,2019
Bhutan,Bumthang,18203,UNFPA,2021
Bhutan,Chukha,69678,UNFPA,2021
Bhutan,Daga,25586,UNFPA,2021
Bhutan,Gasa,4222,UNFPA,2021
Bhutan,Haa,13786,UNFPA,2021
Bhutan,Lhuntshi,13806,UNFPA,2021
Bhutan,Mongar,36561,UNFPA,2021
Bhutan,Paro,49990,UNFPA,2021
Bhutan,Pemagatsel,23777,UNFPA,2021
Bhutan,Punakha,30380,UNFPA,2021
Bhutan,Samdrup Jongkhar,34961,UNFPA,2021
Bhutan,Samtse,62977,UNFPA,2021
Bhutan,Sarpang,48776,UNFPA,2021
Bhutan,Thimphu,154379,UNFPA,2021
Bhutan,Trashigang,43429,UNFPA,2021
Bhutan,Trongsa,22276,UNFPA,2021
Bhutan,Tsirang,23493,UNFPA,2021
Bhutan,Wangdue,45911,UNFPA,2021
Bhutan,Tashiyanse,16831,UNFPA,2021
Bhutan,Zhemgang,17109,UNFPA,2021
Myanmar,Kachin,1969048,UNFPA,2021
Myanmar,Kayah,337195,UNFPA,2021
Myanmar,Kayin,1626656,UNFPA,2021
Myanmar,Chin,530540,UNFPA,2021
Myanmar,Sagaing,5646777,UNFPA,2021
Myanmar,Tanintharyi,1511318,UNFPA,2021
