ADM0_EN,ADM0_TH,ADM0_PCODE,ADM1_EN,ADM2_TH,ADM1_Pcode,Year,Both_TOTAL,Both_00_04,Both_05_09,Both_10_14,Both_15_19,Both_20_24,Both_25_29,Both_30_34,Both_35_39,Both_40_44,Both_45_49,Both_50_54,Both_55_59,Both_60_64,Both_65_69,Both_70_74,Both_75_79,Both_80plus,Male_TOTAL,Male_00_04,Male_05_09,Male_10_14,Male_15_19,Male_20_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_64,Male_65_69,Male_70_74,Male_75_79,Male_80plus,Female_TOTAL,Female_00_04,Female_05_09,Female_10_14,Female_15_19,Female_20_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_64,Female_65_69,Female_70_74,Female_75_79,Female_80plus
Thailand,ประเทศไทย,TH,AMNAT CHAROEN,อำนาจเจริญ,TH37,2020,203893,13701,14418,15321,12928,7921,8769,9820,14523,16884,16009,16484,16128,14003,10657,6753,4705,4869,100270,7048,7412,7766,6783,4318,4498,4828,7008,8405,8049,8059,7876,6574,4935,2856,1946,1909,103623,6653,7006,7555,6145,3603,4271,4992,7515,8479,7960,8425,8252,7429,5722,3897,2759,2960
Thailand,ประเทศไทย,TH,ANG THONG,อ่างทอง,TH15,2020,216643,11239,11677,12784,12140,10397,11673,11129,12604,14872,17200,17853,18340,15896,12452,10604,7350,8433,102162,5730,6113,6532,6454,5484,6183,5573,6175,7261,8044,8002,8069,7002,5232,4394,2962,2952,114481,5509,5564,6252,5686,4913,5490,5556,6429,7611,9156,9851,10271,8894,7220,6210,4388,5481
Thailand,ประเทศไทย,TH,BUENG KAN,บึงกาฬ,TH38,2020,306619,24210,24729,23136,17256,11942,15132,17491,22362,23599,22647,23642,22654,20342,15037,9306,6342,6792,151605,12318,12682,11830,8766,6314,7807,8601,10947,11908,10985,11448,11035,9928,7065,4320,2743,2908,155014,11892,12047,11306,8490,5628,7325,8890,11415,11691,11662,12194,11619,10414,7972,4986,3599,3884
Thailand,ประเทศไทย,TH,BURI RAM,บุรีรัมย์,TH31,2020,985709,73876,76559,76301,59169,37743,41310,46815,62988,71075,72116,74523,76162,72932,54666,36697,25178,27599,477460,37655,39296,39009,30316,19849,20994,22649,30043,34303,34387,35664,36078,34298,25262,16367,10696,10594,508249,36221,37263,37292,28853,17894,20316,24166,32945,36772,37729,38859,40084,38634,29404,20330,14482,17005
Thailand,ประเทศไทย,TH,CHACHOENGSAO,ฉะเชิงเทรา,TH24,2020,738516,41918,40500,41023,43814,47633,56498,50761,53963,58166,55636,54107,50735,44321,34380,25475,17143,22443,364128,21780,20762,21317,23159,25266,29984,26248,26849,29224,27365,25803,23642,20364,15499,11362,7237,8267,374388,20138,19738,19706,20655,22367,26514,24513,27114,28942,28271,28304,27093,23957,18881,14113,9906,14176
Thailand,ประเทศไทย,TH,CHAI NAT,ชัยนาท,TH18,2020,234108,12544,12263,12668,12390,9450,10087,10399,12922,16225,19580,20567,21814,18999,15192,11957,8053,8998,110885,6463,6241,6514,6564,5054,5277,5267,6334,7781,9164,9307,9775,8458,6666,5224,3411,3385,123223,6081,6022,6154,5826,4396,4810,5132,6588,8444,10416,11260,12039,10541,8526,6733,4642,5613
Thailand,ประเทศไทย,TH,CHAIYAPHUM,ชัยภูมิ,TH36,2020,764624,48386,49487,50481,42151,28678,31620,34884,49704,60527,61057,65708,64917,61227,44458,30625,20093,20621,371268,24337,25458,25734,22343,15264,16182,17051,23953,29494,29658,31391,30851,28654,20452,13829,8683,7934,393356,24049,24029,24747,19808,13414,15438,17833,25751,31033,31399,34317,34066,32573,24006,16796,11410,12687
Thailand,ประเทศไทย,TH,CHANTHABURI,จันทบุรี,TH22,2020,442591,25638,25461,25336,26471,27408,28324,27118,32175,35484,35793,35023,32285,26424,20544,15552,10770,12785,218130,13050,13274,13154,13528,14249,14910,13783,15953,17530,17476,16801,15254,12515,9833,7161,4722,4937,224461,12588,12187,12182,12943,13159,13414,13335,16222,17954,18317,18222,17031,13909,10711,8391,6048,7848
Thailand,ประเทศไทย,TH,CHIANG MAI,เชียงใหม่,TH50,2020,1809819,82764,86552,87685,123123,148813,126453,106116,107206,124894,150758,172825,152732,112502,72466,56250,47645,51035,887442,42393,43732,45016,62688,76364,65281,53853,53314,60515,71142,82203,73026,53747,34713,25979,21714,21762,922377,40371,42820,42669,60435,72449,61172,52263,53892,64379,79616,90622,79706,58755,37753,30271,25931,29273
Thailand,ประเทศไทย,TH,CHIANG RAI,เชียงราย,TH57,2020,1089821,57261,60507,63391,64121,56641,57404,54786,65145,80424,97386,109895,100763,75149,52406,37045,29072,28425,536094,28827,30920,32388,33440,29668,29542,27855,32421,38728,46783,52667,48491,36411,24954,17413,13374,12212,553727,28434,29587,31003,30681,26973,27862,26931,32724,41696,50603,57228,52272,38738,27452,19632,15698,16213
